   4
  1     1.06000 0.001 0
 12     1.05520 0.001 0
  8     1.09000 0.001 0
  4     1.01860 0.001 0
   8
 10    -0.09000 0.001 0
  7     0.00000 0.001 0
  8     0.00000 0.001 0
  1     2.32283 0.001 0
 12    -0.06100 0.001 0
 13    -0.13500 0.001 0
  9    -0.29500 0.001 0
  4    -0.47800 0.001 0
   8
 10    -0.05800 0.001 0
  7     0.00000 0.001 0
  8     0.17357 0.001 0
  1    -0.16888 0.001 0
 12    -0.01600 0.001 0
 13    -0.05800 0.001 0
  9    -0.16600 0.001 0
  4     0.03900 0.001 0
   5
 12 13     0.01610 0.001 0
 13 14     0.05634 0.001 0
  2  3     0.73186 0.001 0
 10 11    -0.03776 0.001 0
  4  5    -0.61218 0.001 0
   5
 12 13     0.00743 0.001 0
 13 14     0.01694 0.001 0
  2  3     0.03565 0.001 0
 10 11    -0.01535 0.001 0
  4  5     0.15665 0.001 0
   0


