25
  1    0.99920 0.001 0
  2    0.99840 0.001 0
  3    0.99760 0.001 0
  4    0.99680 0.001 0
  5    0.99600 0.001 0
  6    0.99520 0.001 0
  7    0.99440 0.001 0
  8    0.99360 0.001 0
  9    0.99280 0.001 0
 10    0.99200 0.001 0
 11    0.99120 0.001 0
 12    0.99040 0.001 0
 13    0.98960 0.001 0
 14    0.98880 0.001 0
 15    0.98800 0.001 0
 16    0.98720 0.001 0
 17    0.98640 0.001 0
 18    0.98560 0.001 0
 19    0.98480 0.001 0
 20    0.98400 0.001 0
 21    0.98320 0.001 0
 22    0.98240 0.001 0
 23    0.98160 0.001 0
 24    0.98080 0.001 0
 25    0.98000 0.001 0
25
  1   -0.00140 0.001 0
  2   -0.00279 0.001 0
  3   -0.00419 0.001 0
  4   -0.00559 0.001 0
  5   -0.00698 0.001 0
  6   -0.00838 0.001 0
  7   -0.00977 0.001 0
  8   -0.01117 0.001 0
  9   -0.01257 0.001 0
 10   -0.01396 0.001 0
 11   -0.01536 0.001 0
 12   -0.01676 0.001 0
 13   -0.01815 0.001 0
 14   -0.01955 0.001 0
 15   -0.02094 0.001 0
 16   -0.02234 0.001 0
 17   -0.02374 0.001 0
 18   -0.02513 0.001 0
 19   -0.02653 0.001 0
 20   -0.02793 0.001 0
 21   -0.02932 0.001 0
 22   -0.03072 0.001 0
 23   -0.03211 0.001 0
 24   -0.03351 0.001 0
 25   -0.03491 0.001 0
25
  1   -0.06000 0.010 0
  2   -0.07000 0.010 0
  3   -0.08000 0.010 0
  4   -0.09000 0.010 0
  5   -0.05000 0.010 0
  6   -0.06000 0.010 0
  7   -0.07000 0.010 0
  8   -0.08000 0.010 0
  9   -0.09000 0.010 0
 10   -0.05000 0.010 0
 11   -0.06000 0.010 0
 12   -0.07000 0.010 0
 13   -0.08000 0.010 0
 14   -0.09000 0.010 0
 15   -0.05000 0.010 0
 16   -0.06000 0.010 0
 17   -0.07000 0.010 0
 18   -0.08000 0.010 0
 19   -0.09000 0.010 0
 20   -0.05000 0.010 0
 21   -0.06000 0.010 0
 22   -0.07000 0.010 0
 23   -0.08000 0.010 0
 24   -0.09000 0.010 0
 25   -0.05000 0.010 0
25
  1   -0.02500 0.010 0
  2   -0.03000 0.010 0
  3   -0.03500 0.010 0
  4   -0.02000 0.010 0
  5   -0.02500 0.010 0
  6   -0.03000 0.010 0
  7   -0.03500 0.010 0
  8   -0.02000 0.010 0
  9   -0.02500 0.010 0
 10   -0.03000 0.010 0
 11   -0.03500 0.010 0
 12   -0.02000 0.010 0
 13   -0.02500 0.010 0
 14   -0.03000 0.010 0
 15   -0.03500 0.010 0
 16   -0.02000 0.010 0
 17   -0.02500 0.010 0
 18   -0.03000 0.010 0
 19   -0.03500 0.010 0
 20   -0.02000 0.010 0
 21   -0.02500 0.010 0
 22   -0.03000 0.010 0
 23   -0.03500 0.010 0
 24   -0.02000 0.010 0
 25   -0.02500 0.010 0
40
   1   2    0.02100 0.010 0
   2   3    0.02100 0.010 0
   3   4    0.02100 0.010 0
   4   5    0.02100 0.010 0
   5   6    0.02100 0.010 0
   6   7    0.02100 0.010 0
   7   8    0.02100 0.010 0
   8   9    0.02100 0.010 0
   9  10    0.02100 0.010 0
  10  11    0.02100 0.010 0
  11  12    0.02100 0.010 0
  12  13    0.02100 0.010 0
  13  14    0.02100 0.010 0
  14  15    0.02100 0.010 0
  15  16    0.02100 0.010 0
  16  17    0.02100 0.010 0
  17  18    0.02100 0.010 0
  18  19    0.02100 0.010 0
  19  20    0.02100 0.010 0
  20  21    0.02100 0.010 0
  21  22    0.02100 0.010 0
  22  23    0.02100 0.010 0
  23  24    0.02100 0.010 0
  24  25    0.02100 0.010 0
   1   5    0.02400 0.010 0
   2   6    0.02400 0.010 0
   3   7    0.02400 0.010 0
   4   8    0.02400 0.010 0
   5   9    0.02400 0.010 0
   6  10    0.02400 0.010 0
   7  11    0.02400 0.010 0
   8  12    0.02400 0.010 0
   9  13    0.02400 0.010 0
  10  14    0.02400 0.010 0
  11  15    0.02400 0.010 0
  12  16    0.02400 0.010 0
  13  17    0.02400 0.010 0
  14  18    0.02400 0.010 0
  15  19    0.02400 0.010 0
  16  20    0.02400 0.010 0
40
   1   2    0.01050 0.010 0
   2   3    0.01050 0.010 0
   3   4    0.01050 0.010 0
   4   5    0.01050 0.010 0
   5   6    0.01050 0.010 0
   6   7    0.01050 0.010 0
   7   8    0.01050 0.010 0
   8   9    0.01050 0.010 0
   9  10    0.01050 0.010 0
  10  11    0.01050 0.010 0
  11  12    0.01050 0.010 0
  12  13    0.01050 0.010 0
  13  14    0.01050 0.010 0
  14  15    0.01050 0.010 0
  15  16    0.01050 0.010 0
  16  17    0.01050 0.010 0
  17  18    0.01050 0.010 0
  18  19    0.01050 0.010 0
  19  20    0.01050 0.010 0
  20  21    0.01050 0.010 0
  21  22    0.01050 0.010 0
  22  23    0.01050 0.010 0
  23  24    0.01050 0.010 0
  24  25    0.01050 0.010 0
   1   5    0.01200 0.010 0
   2   6    0.01200 0.010 0
   3   7    0.01200 0.010 0
   4   8    0.01200 0.010 0
   5   9    0.01200 0.010 0
   6  10    0.01200 0.010 0
   7  11    0.01200 0.010 0
   8  12    0.01200 0.010 0
   9  13    0.01200 0.010 0
  10  14    0.01200 0.010 0
  11  15    0.01200 0.010 0
  12  16    0.01200 0.010 0
  13  17    0.01200 0.010 0
  14  18    0.01200 0.010 0
  15  19    0.01200 0.010 0
  16  20    0.01200 0.010 0
4
   1   2 0.10000 0.004 0
   2   3 0.10000 0.004 0
   3   4 0.10000 0.004 0
   4   5 0.10000 0.004 0
0
